Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      0.74     0.00        6     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::size() const
  0.00      0.74     0.00        6     0.00     0.00  std::remove_reference<std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >)>::type&& std::move<std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >)>(std::vector<double, std::allocator<double> > const (*&)(std::vector<double, std::allocator<double> >))
  0.00      0.74     0.00        5     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_get_Tp_allocator()
  0.00      0.74     0.00        5     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_destroy(std::_Any_data&, std::integral_constant<bool, true>)
  0.00      0.74     0.00        5     0.00     0.00  std::_Function_base::_Function_base()
  0.00      0.74     0.00        5     0.00     0.00  std::_Function_base::~_Function_base()
  0.00      0.74     0.00        5     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::~function()
  0.00      0.74     0.00        5     0.00     0.00  std::vector<double, std::allocator<double> > const (*&std::_Any_data::_M_access<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>())(std::vector<double, std::allocator<double> >)
  0.00      0.74     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::base() const
  0.00      0.74     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*>::base() const
  0.00      0.74     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*>::move_iterator(std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        4     0.00     0.00  std::move_iterator<std::vector<double, std::allocator<double> >*> std::__make_move_if_noexcept_iterator<std::vector<double, std::allocator<double> >, std::move_iterator<std::vector<double, std::allocator<double> >*> >(std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<std::vector<double, std::allocator<double> > >::max_size() const
  0.00      0.74     0.00        3     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::operator bool() const
  0.00      0.74     0.00        3     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_clone(std::_Any_data&, std::_Any_data const&, std::integral_constant<bool, true>)
  0.00      0.74     0.00        3     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::function(std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)> const&)
  0.00      0.74     0.00        3     0.00     0.00  double const& std::forward<double const&>(std::remove_reference<double const&>::type&)
  0.00      0.74     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<std::vector<double, std::allocator<double> >*, std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > > >::__normal_iterator(std::vector<double, std::allocator<double> >* const&)
  0.00      0.74     0.00        2     0.00     0.00  bool __gnu_cxx::operator!=<double const*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double const*, std::vector<double, std::allocator<double> > > const&)
  0.00      0.74     0.00        2     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_get_Tp_allocator() const
  0.00      0.74     0.00        2     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::max_size() const
  0.00      0.74     0.00        2     0.00     0.00  void std::_Destroy_aux<false>::__destroy<std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        2     0.00     0.00  std::_Vector_base<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_M_deallocate(std::vector<double, std::allocator<double> >*, unsigned long)
  0.00      0.74     0.00        2     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_init_functor(std::_Any_data&, std::vector<double, std::allocator<double> > const (*&&)(std::vector<double, std::allocator<double> >))
  0.00      0.74     0.00        2     0.00     0.00  std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_init_functor(std::_Any_data&, std::vector<double, std::allocator<double> > const (*&&)(std::vector<double, std::allocator<double> >), std::integral_constant<bool, true>)
  0.00      0.74     0.00        2     0.00     0.00  bool std::_Function_base::_Base_manager<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >)>::_M_not_empty_function<std::vector<double, std::allocator<double> > const (std::vector<double, std::allocator<double> >)>(std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >))
  0.00      0.74     0.00        2     0.00     0.00  std::allocator_traits<std::allocator<std::vector<double, std::allocator<double> > > >::max_size(std::allocator<std::vector<double, std::allocator<double> > > const&)
  0.00      0.74     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >* std::__uninitialized_copy<false>::__uninit_copy<std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*>(std::move_iterator<std::vector<double, std::allocator<double> >*>, std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        2     0.00     0.00  std::vector<std::vector<double, std::allocator<double> >, std::allocator<std::vector<double, std::allocator<double> > > >::_S_max_size(std::allocator<std::vector<double, std::allocator<double> > > const&)
  0.00      0.74     0.00        2     0.00     0.00  std::function<std::vector<double, std::allocator<double> > (std::vector<double, std::allocator<double> >)>::function<std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >), void, void>(std::vector<double, std::allocator<double> > const (*)(std::vector<double, std::allocator<double> >))
  0.00      0.74     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >* std::__addressof<std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >&)
  0.00      0.74     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >* std::uninitialized_copy<std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*>(std::move_iterator<std::vector<double, std::allocator<double> >*>, std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >* std::__uninitialized_copy_a<std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > >(std::move_iterator<std::vector<double, std::allocator<double> >*>, std::move_iterator<std::vector<double, std::allocator<double> >*>, std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> > >&)
  0.00      0.74     0.00        2     0.00     0.00  std::vector<double, std::allocator<double> >* std::__uninitialized_move_if_noexcept_a<std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> > > >(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> > >&)
  0.00      0.74     0.00        2     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >*>(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*)
  0.00      0.74     0.00        2     0.00     0.00  void std::_Destroy<std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> > >(std::vector<double, std::allocator<double> >*, std::vector<double, std::allocator<double> >*, std::allocator<std::vector<double, std::allocator<double> > >&)
  0.00      0.74     0.00        2     0.00     0.00  bool std::operator==<std::vector<double, std::allocator<double> >*>(std::move_iterator<std::vector<double, std::allocator<double> >*> const&, std::move_iterator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.74     0.00        2     0.00     0.00  bool std::operator!=<std::vector<double, std::allocator<double> >*>(std::move_iterator<std::vector<double, std::allocator<double> >*> const&, std::move_iterator<std::vector<double, std::allocator<double> >*> const&)
  0.00      0.74     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN5EulerC2ESt6vectorIdSaIdEEddSt8functionIFS2_S2_EE
  0.00      0.74     0.00        1     0.00     0.00  _GLOBAL__sub_I__ZN8ExplicitC2ESt6vectorIdSaIdEEddSt8functionIFS2_S2_EE
